"name","type","unit","vocabulary","valid_min","valid_max","description","Code_Display","Code_Query","Variable_Order","Variable_Key","Unit_or_type","Data_type","Dataset","Subset","Group","SubGroup","Set_group_order","Version_or_questions","DSSAT_synon","DSSAT_group","DSSAT_order","var_uid"
"people_level","numeric","","","","","Unique identifier to identify a person associated with a dataset","PP","PP",1,NA,"number","single","EXPERIMENT","METADATA","PERSONS",NA,1031,NA,NA,NA,NA,31
"researcher_last_name","character","","","","","Last name of researchers involved with the experiment(s) or data","LAST_NAME","LAST_NAME",2,NA,"text","text","EXPERIMENT","METADATA","PERSONS",NA,1031,NA,".",NA,NA,32
"researcher_first_name","character","","","","","First name of researchers involved with the experiment(s) or data","FIRST_NAME","FIRST_NAME",3,NA,"text","text","EXPERIMENT","METADATA","PERSONS",NA,1031,NA,NA,NA,NA,33
"researcher_name_mi","character","","","","","Middle initial of researchers involved with the experiment(s) or data","MID_INITIAL","MID_INITIAL",4,NA,"text","text","EXPERIMENT","METADATA","PERSONS",NA,1031,NA,NA,NA,NA,34
"researcher_role","character","","pp_role","","","Role of researcher or other person in experiment or dataset preparation","PP_ROLE","PP_ROLE",5,NA,"code","text","EXPERIMENT","METADATA","PERSONS",NA,1031,NA,NA,NA,NA,35
"researcher_address","character","","","","","Mailing address of researcher","EX_ADDRESS","EX_ADDRESS",6,NA,"text","text","EXPERIMENT","METADATA","PERSONS",NA,1031,"2014-03-14, chp",NA,NA,NA,36
"institute_id","numeric","","","","","Links to institution associated w person","IN","IN",7,NA,"number","single","EXPERIMENT","METADATA","PERSONS",NA,1031,NA,NA,NA,NA,37
"e_mail_address","character","","","","","E-mail address of researcher","EX_EMAIL","EX_EMAIL",8,NA,"text","text","EXPERIMENT","METADATA","PERSONS",NA,1031,NA,NA,NA,NA,38
"persons_notes","character","","","","","Additional notes on persons involved with the experiment(s)","PERSON_NOTES","PERSON_NOTES",99,NA,"text","memo","EXPERIMENT","METADATA","PERSONS",NA,1031,NA,NA,NA,NA,39
"institute_id","numeric","","","","","Unique identifier to identify an institution associated with a dataset","IN","IN",1,NA,"number","single","EXPERIMENT","METADATA","INSTITUTIONS",NA,1041,NA,NA,NA,NA,40
"institute_name","character","","","","","Names of participating institutions","INSTITUTION","INSTITUTION",2,NA,"text","text","EXPERIMENT","METADATA","INSTITUTIONS",NA,1041,NA,NA,NA,NA,41
"institute_type","character","","in_type","","","Type of participating institutions","IN_TYPE","IN_TYPE",3,NA,"code","single","EXPERIMENT","METADATA","INSTITUTIONS",NA,1041,NA,NA,NA,NA,42
"institute_role","character","","in_role","","","Role of participating institutions","IN_ROLE","IN_ROLE",4,NA,"code","single","EXPERIMENT","METADATA","INSTITUTIONS",NA,1041,NA,NA,NA,NA,43
"institute_notes","character","","","","","Additional notes on institutions associated with the experiment(s)","IN_NOTES","IN_NOTES",99,NA,"text","text","EXPERIMENT","METADATA","INSTITUTIONS",NA,1041,NA,NA,NA,NA,44
"document_id","numeric","","","","","Unique identifier to identify an document associated with a dataset","DOC_ID","DOC_ID",1,NA,"number","single","EXPERIMENT","METADATA","DOCUMENTS",NA,1051,NA,NA,NA,NA,45
"document_name","character","","","","","Document name in abbreviated form","DOCUMENT","DOCUMENT",2,NA,"text","memo","EXPERIMENT","METADATA","DOCUMENTS",NA,1051,NA,NA,NA,NA,46
"digital_object_id","character","","","","","Digital Object Identifier according to international standard (DOI)","DIGITAL_OBJ_ID","DIGITAL_OBJ_ID",3,NA,"text","memo","EXPERIMENT","METADATA","DOCUMENTS",NA,1051,NA,NA,NA,NA,47
"document_type","character","","","","","Description of type of document (e.g., photo, graphic, memo, etc.","DOC_TYPE","DOC_TYPE",4,NA,"text","text","EXPERIMENT","METADATA","DOCUMENTS",NA,1051,NA,NA,NA,NA,48
"document_date","character","","","","","Description of type of document (e.g., photo, graphic, memo, etc.","DOC_DATE","DOC_DATE",5,NA,"text","text","EXPERIMENT","METADATA","DOCUMENTS",NA,1051,"2017-09-14, JWW",NA,NA,NA,49
"document_link","character","","","","","URL for location of digital document","DOC_LINK","DOC_LINK",6,NA,"text","text","EXPERIMENT","METADATA","DOCUMENTS",NA,1051,"2025-07-03, JWW",NA,NA,NA,50
"document_notes","character","","","","","Additional notes on a document related to the dataset","DOC_NOTES","DOC_NOTES",99,NA,"text","text","EXPERIMENT","METADATA","DOCUMENTS",NA,1051,"2025-07-03, JWW",NA,NA,NA,51
"plot_id","character","","","0","","Plot identification","PLTID","PLTID",1,NA,"text","text","EXPERIMENT","METADATA","PLOT_DETAILS",NA,1071,"2020-06-09, CHP",".",NA,NA,52
"plot_area","numeric","m2","","0","","Plot area (gross) per rep","PLTA","PLTA",2,NA,"m2","single","EXPERIMENT","METADATA","PLOT_DETAILS",NA,1071,NA,"PAREA","GENERAL",1121,53
"plot_row_number","numeric","","","","","Plot row number for single plot or treatment","PLTR#","PLTRno",3,NA,"number","single","EXPERIMENT","METADATA","PLOT_DETAILS",NA,1071,NA,"PRNO","GENERAL",1122,54
