"name","Group.Topic","Code_Display","Description","Usage","Comment","ICASA_standard"
"canopy","harvest_components","HACOM","Above-ground biomass",NA,NA,1
"leaf","harvest_components","HACOM","Leaves",NA,NA,1
"grain","harvest_components","HACOM","Grain, legume seeds",NA,NA,1
"silage","harvest_components","HACOM","Silage",NA,NA,1
"tuber","harvest_components","HACOM","Underground storage components (e.g., tubers, roots, corms, rhyzomes, etc.)",NA,"2021-05-13, chp",1
"fruit","harvest_components","HACOM","Fruit",NA,NA,1
"fiber","harvest_components","HACOM","Fiber, e.g., cotton",NA,"2021-05-13, chp",1
"seed_cotton","harvest_components","HACOM","Cotton boll, including lint",NA,"2021-05-13, chp",1
"stem","harvest_components","HACOM","Stem",NA,"2021-05-13, chp",1
