"name","Code_display","Description","Comment","ICASA_standard"
"ET001","exper_type","Conventional replicated field trial",NA,1
"ET002","exper_type","Breeding nursery or varietal trial","Distinction from ET002 is somewhat arbitrary",1
"ET003","exper_type","Free-air CO2 enrichment",NA,1
"ET004","exper_type","Open-top chamber CO2 enrichment",NA,1
"ET005","exper_type","Closed chamber",NA,1
"ET006","exper_type","Moisture or nutrient gradient study",NA,1
