"name","Code_display","Description","Comment","ICASA_standard"
"IL001","in_role","Primary role in executing experiment",NA,1
"IL002","in_role","Supporting role",NA,1
"IL003","in_role","Source of economic or other support",NA,1
"IL004","in_role","Data organization or conversion",NA,1
