"name","Code_display","Description","Comment","ICASA_standard"
"IT001","in_type","University, main campus",NA,1
"IT002","in_type","University experiment station",NA,1
"IT003","in_type","Government research institution",NA,1
"IT004","in_type","Government research institution, designated laboratory or center",NA,1
"IT005","in_type","Private company",NA,1
"IT006","in_type","Farm",NA,1
"IT007","in_type","Farmer association or cooperative",NA,1
"IT008","in_type","Non-governmental organization",NA,1
