"name","Code_display","Description","Comment","ICASA_standard"
"MT001","mgmt_type","Researcher managed on experiment station",NA,1
"MT002","mgmt_type","Researcher managed on farm",NA,1
"MT003","mgmt_type","Farmer managed on farm",NA,1
"MT004","mgmt_type","Researcher and farmer joint-managed",NA,1
